reference_frame,target_frame_min,target_frame_median,target_frame_max,num_path_matches
0,0,0.0,0,1
1,0,0.0,0,1
2,0,0.0,0,1
3,0,0.0,0,1
4,0,0.0,0,1
5,0,0.0,0,1
6,0,0.0,0,1
7,1,1.0,1,1
8,2,2.0,2,1
9,3,3.0,3,1
10,4,4.0,4,1
11,5,5.0,5,1
12,6,6.0,6,1
13,7,7.0,7,1
14,8,8.0,8,1
15,9,9.0,9,1
16,10,10.0,10,1
17,11,11.0,11,1
18,12,12.0,12,1
19,13,13.0,13,1
20,14,14.0,14,1
21,15,15.0,15,1
22,16,16.0,16,1
23,17,17.0,17,1
24,18,18.0,18,1
25,19,19.0,19,1
26,20,20.0,20,1
27,21,21.0,21,1
28,22,22.0,22,1
29,23,23.0,23,1
30,24,24.0,24,1
31,25,25.0,25,1
32,26,26.0,26,1
33,27,27.0,27,1
34,28,28.0,28,1
35,29,29.0,29,1
36,30,30.0,30,1
37,31,31.0,31,1
38,32,32.0,32,1
39,33,33.0,33,1
40,33,33.0,33,1
41,33,33.0,33,1
42,34,34.0,34,1
43,34,34.0,34,1
44,34,34.0,34,1
45,34,34.0,34,1
46,34,34.0,34,1
47,34,34.0,34,1
48,34,34.0,34,1
49,34,34.0,34,1
50,34,34.0,34,1
51,34,34.0,34,1
52,34,34.0,34,1
53,34,34.0,34,1
54,34,34.0,34,1
55,34,34.0,34,1
56,34,34.0,34,1
57,34,34.0,34,1
58,34,34.0,34,1
59,35,35.0,35,1
60,36,36.0,36,1
61,37,37.0,37,1
62,38,38.0,38,1
63,39,39.0,39,1
64,40,40.0,40,1
65,41,41.0,41,1
66,42,42.0,42,1
67,43,43.0,43,1
68,44,44.0,44,1
69,45,45.0,45,1
70,46,46.0,46,1
71,47,47.0,47,1
72,48,48.0,48,1
73,49,49.0,49,1
74,50,50.0,50,1
75,51,51.0,51,1
76,52,52.0,52,1
77,53,53.0,53,1
78,54,54.0,54,1
79,55,55.0,55,1
80,56,56.0,56,1
81,57,57.0,57,1
82,58,58.0,58,1
83,59,59.0,59,1
84,60,60.0,60,1
85,61,61.0,61,1
86,62,62.0,62,1
87,63,63.0,63,1
88,64,64.0,64,1
89,65,65.0,65,1
90,66,66.0,66,1
91,67,67.0,67,1
92,68,68.0,68,1
93,69,69.0,69,1
94,70,70.0,70,1
95,71,71.0,71,1
96,72,72.0,72,1
97,73,73.0,73,1
98,74,74.0,74,1
99,75,75.0,75,1
100,76,76.0,76,1
101,77,77.0,77,1
102,78,78.0,78,1
103,79,79.0,79,1
104,80,80.0,80,1
105,81,81.0,81,1
106,82,82.0,82,1
107,83,83.0,83,1
108,84,84.0,84,1
109,85,85.0,85,1
110,86,86.0,86,1
111,87,87.0,87,1
112,88,88.0,88,1
113,89,89.0,89,1
114,90,90.0,90,1
115,91,91.0,91,1
116,92,92.0,92,1
117,93,93.0,93,1
118,94,94.0,94,1
119,95,95.0,95,1
120,96,96.0,96,1
121,97,97.0,97,1
122,98,98.0,98,1
123,99,99.0,99,1
124,100,100.0,100,1
125,101,101.0,101,1
126,102,102.0,102,1
127,103,103.0,103,1
128,104,104.0,104,1
129,105,105.0,105,1
130,106,106.0,106,1
131,107,107.0,107,1
132,108,108.0,108,1
133,109,109.0,109,1
134,110,110.0,110,1
135,111,111.0,111,1
136,112,112.0,112,1
137,113,113.0,113,1
138,114,114.0,114,1
139,115,115.0,115,1
140,116,116.0,116,1
141,117,117.0,117,1
142,118,118.0,118,1
143,119,119.0,119,1
144,120,120.0,120,1
145,121,121.0,121,1
146,122,122.0,122,1
147,123,123.0,123,1
148,124,124.0,124,1
149,125,125.0,125,1
150,126,126.0,126,1
151,127,127.0,127,1
152,128,128.0,128,1
153,129,129.0,129,1
154,130,130.0,130,1
155,131,131.0,131,1
156,132,132.0,132,1
157,133,133.0,133,1
158,134,134.0,134,1
159,135,135.0,135,1
160,136,136.0,136,1
161,137,137.0,137,1
162,138,138.0,138,1
163,139,139.0,139,1
164,140,140.0,140,1
165,141,141.0,141,1
166,142,142.0,142,1
167,143,143.0,143,1
168,144,144.0,144,1
169,145,145.0,145,1
170,146,146.0,146,1
171,147,147.0,147,1
172,148,148.0,148,1
173,149,149.0,149,1
174,150,150.0,150,1
175,151,151.0,151,1
176,152,152.0,152,1
177,153,153.0,153,1
178,154,154.0,154,1
179,155,155.0,155,1
180,156,156.0,156,1
181,157,157.0,157,1
182,158,158.0,158,1
183,159,159.0,159,1
184,160,160.0,160,1
185,161,161.0,161,1
186,162,162.0,162,1
187,163,163.0,163,1
188,164,164.0,164,1
189,165,165.0,165,1
190,166,166.0,166,1
191,167,167.0,167,1
192,168,168.0,168,1
193,169,169.0,169,1
194,170,170.0,170,1
195,171,171.0,171,1
196,172,172.0,172,1
197,172,172.0,172,1
198,172,172.0,172,1
199,172,172.0,172,1
200,172,172.0,172,1
201,172,172.0,172,1
202,172,172.0,172,1
203,172,172.0,172,1
204,172,172.0,172,1
205,172,172.0,172,1
206,172,172.0,172,1
207,172,172.0,172,1
208,172,172.0,172,1
209,173,173.0,173,1
210,174,174.0,174,1
211,175,175.0,175,1
212,176,176.0,176,1
213,177,177.0,177,1
214,178,178.0,178,1
215,179,179.0,179,1
